Organization,Count,ID
עוקץ,5,328cb9c461
yeshiva uni,1,8e5746d107
u . s .,3,8be8fd08e9
מרכז המחקר וה מידע,1,f1402f6ee2
ישראל ביתנו,1,4336e1addf
רופאים לזכויות אדם,1,fd227b7c63
ועדת הבריאות,1,a0fb9920e6
בית החולים איכילוב,1,d22c64763f
מחלקה לטיפול באלימות,1,c9a1d595d8
ארגון הנשים,1,edacdbce38
יש עתיד,1,1e3a59cad9
מרכז מהו״ת,1,12bc1026aa
מרכז לטם לטיפול,1,0ed05d8d80
ארגון,2,9829cd9976
איגוד מרכזי הסיוע לנפגעות,1,99175ea65d
צביה זליגמן,1,9606ad078a
taboola,3,29ecf9b93b
ערוץ הכנסת,1,a314372e97
channel22,2,6cb424c6bc
הג׳יהאד האיסלאמי,1,d29fc064a6
הג׳יהאד האסלאמי,1,7f1078990a
משטרת מחוז ת״א,1,62c5522302
מתגייסים למענם,3,90c5b5f123
המלאכים של רקסי,3,85771b9675
ביופט,3,5e588622a4
האוצר,1,6c4c9ada20
הגנה,1,4195289ec2
בית החולים שיבא בתל השומר,1,4d218faf47
בית החולים ספרא לילדים,1,d860675761
מחלקה האורתופדית,1,d8fb6112d8
ביה״ח,1,46e9f163b9
בית החולים אסותא באשדוד,1,85f2c3858e
חטיבת המרום,2,b7a33a7e5b
יחידת עוקץ,2,bcf977ef8d
השירות הווטרינרי העירוני,1,ab5787740e
השירות הווטרינרי,1,8a52d77859
בית החולים לחיות בר בספארי,2,83eb4f76dd
פלס״ר נח״ל,1,04ae55086b
בה״ד 1,1,59eeeb8e88
חטיבת נח״ל,1,4546fb4863
יחידת החילוץ הארצית,1,240e28270e
משרד החקלאות,6,38d8065b9f
המשרד להגנת הסביבה,4,a00d76b8b9
משטרה ירוקה,3,17085becf8
עמותת למען חיות הבר,4,8c2f0d629c
משרד ההסברה,1,67f0530ba8
כולנא,1,f934b5d2a3
הציונות הדתית,1,3d195d2806
חטיבת אלכסנדרוני,1,1d830a8c1e
יחידת ״עוקץ,1,944f02095f
חטיבה 460,1,3c1fb4ca44
חטיבת עוקץ,1,c28bd906f6
המועצה האזורית רמת נגב,1,92f64c4fff
מועצה האזורית רמת הנגב,1,c4c5697d68
צו 8 לכלבים,1,a5e79a48cc
המרכז להכשרות כלבי שירות בקרית טבעון,1,b5dea0d68a
רמב״ם,1,342d763513
המרכז הישראלי לכלבי נחייה,1,5b98a6a39c
האגודה להגנת הילד,1,26be0f12bd
פקחי רט״ג,1,1e4c0182fa
הגנת הסביבה,1,3be737cc4a
אגף הגנה על בעלי חיים,1,37ee495419
s . o . s pets,2,4c850b7b0f
ערוץ 14,1,874f53d758
שריון מעזה,1,d88c89c21d
אס . או . אס חיות,2,01824decf8
חטיבת השיריון,2,dbc86e62c3
כללית,2,0d042dfd81
ל״ ידיעות אחרונות,1,f6a104aa90
the mercy fund,1,80250dcee2
cmj,1,7207c405f7
עמותת,2,50fdbb5cb3
בית החולים לחיות בר,1,f97ad268cb
ארגון הרופאים הווטרינרים לחיות הבית,2,d021847eb1
עטלפים ,2,b657142044
לב אחד,2,c733539794
אנימלס,2,b90b7f84d9
החמ״ל הארצי,2,1401ea11e9
גיבורים,2,4cedf8539a
אוניברסיטת תל אביב,1,1b5d9cbee5
מחלקה לתרבות,1,4583df1c2d
ארגון הרופאים הוטרינרים,1,02884e2b0a
בית החולים שיפא,1,e53b5ff83a
חטיבת גבעתי,1,c3bf361a17
בית החולים רנתיסי,1,e140db6d7e
חיל הרפואה,1,f2a4409dbe
בית החולים ״שיבא ״ב תל השומר,1,d818f41db0
מיתר,1,9de43fae1d
מחלקת השיקום,1,405ba7137d
שגרירות הפיליפינית,1,f26a29f176
איחוד האירופי,1,491023f5aa
מרכז הרפואי שמיר,1,9d1a8089fb
עמותת ״נחמה והצלה לישראל,1,d0b13bbcf9
נחמה והצלה לישראל,1,08435dc361
אשל הנשיא,1,dd3187589e
עמותת ,1,ea7e3080b0
עמותת ״חיים בשביל החי,1,e8c8614357
יח״צ,1,f52fdd9499
המשטרה הירוקה,1,c74f5c9aa5
משרד החקלאות ופיתוח הכפר,1,6c375b0e76
צער בעלי חיים,1,9d9a85c7d6
אגודת צער בעלי חיים,1,c5b4386cee
czechia,1,98793b57b6
יחידת עוקץ בעזה,1,a7688a3ddc
בית המשפט הפדרלי בוושינגטון,1,21e7722137
בית החולים בלינסון,1,191331a669
אוניברסיטת ייל,1,958cc99590
ייל בארה״ב,1,5f3af75baa
חטיבת השיריון 188,1,6f14cc3a07
הבא ,1,df03dcc5a5
מוקד 105,1,8d6a286906
להב 433,1,0fbf0e93be
ועד ראשי האוניברסיטאות,1,2eebb6c5a8
אוניברסיטת בר אילן,1,dbef6bff24
צוות אלחנן,1,d054344a32
בית המשפט המחוזי בירושלים,1,708970a83b
columbia university,1,dc1b6aca2b
הפועל ירושלים,1,ed45da2fb5
ארגון האולטראס הגרמני,1,85f10fcab4
המחלקה למאבק באנטישמיות,1,d48977fe7c
bbb,1,08f8e0260c
סופר פארם,1,c9661f9949
הסתדרות הציונית העולמית,1,639e4f85d8
משטרת נאנטר,1,28f3a7f086
real invest מגזין נדל״ן,1,3517435263
אוניברסיטת קולומביה,1,5780929681
