Person,Count,ID
קובי גיבור,4,b6c5877e40
נעמי חולצנו,4,11a215f7ae
ישראל אופיר,4,ff02751fab
קוץ אביב,4,bf4922f0f4
גילה פלד,4,654e48c5cb
רון ויינברג,3,1be46438b4
תמיר לשץ,3,dbd48092eb
מתן זנתי,3,3d6e3de07d
ארז גוזן,3,7d44f8ea8f
יהונתן שטיינברג,2,863d0f4295
יובל דואק,2,c1d606329a
רון פביאן,2,70fa7211f2
לוי אברהם,1,0db8956be3
שרון שטרית,1,5459e38454
לילך ליברמן,1,14ebc02c3c
ליאתי מליסה,1,7f69dfb993
חן קורן,1,6da2eb2650
ג׳ורג׳ה כלב,1,591ff692f0
שלמה ואתי,1,21c1d9aeec
שלמה קורן,1,bb9b0552c8
דניאל הרבש״ץ,1,c84bab8a97
פרח פילו,1,9077bf1a15
בן בארי,1,dc729cd1a9
איריס אלטבוים,1,84a924e474
רבי מלובביץ׳,1,6c8ed774d0
david ben zion,1,deaad3a353
מיכה שמילוביץ בנתיב,2,2595c1f794
יניב זוהר,2,5a257cdd2e
איציק זוארץ,4,ac0d823016
רינת בבארי,2,1afde19d0b
רינת שגב,2,06695c454f
רועי עידן,2,8156f88063
yossi landau,2,8cf16bd392
יובל סימן טוב,1,0a0c83e62a
אוריין צ׳פלין,1,83a1920fa5
תומר צדיק,1,ce9632037c
יוסף אלזיאדנה מרהט,1,bbde6271f7
yael hashimshony,1,8b439369be
tamar schiffer shiv,1,eeee0f1287
shon kogan,1,b7b741f207
nataly kogan,1,6b5aa4a177
דוד עדי,2,8438ffe415
yairsakov @ tauex . tau . ac . il,1,d750d280b4
יאיר סאקוב,1,6489a5428e
עומר מצקר,1,288eea4207
לאון בר היקר,1,194f7a674b
לאון בר,1,74b450f82c
דודו טסה,1,4e3fc9d5ed
ענברי שלי,1,5f5db79170
רום ברסלב,1,9b7275fc8c
דושי קוקי,1,3b86dfaaec
דניאל הרבשצ,1,61c8d6bd61
ארז סרלין,1,7c58b92c99
איתן מנירים,1,7b4b089bb1
ארקדי ויוסי,1,ffb9d08824
אורי רז,1,ae6ff82e1d
דניאל הרבש״צ,1,183a30e12a
אור ביתי,1,69b50cb723
erez serlin,1,b688469404
אור וזאן,1,04c9d9026b
מירון ברק,1,057c77c596
דורון מאיר,1,6d2f658abd
רועי פופלוול,1,ec893c9483
יגב בוכשטב,2,971a3b18d2
נדב פופלוול,1,fad58d24cf
מור מאיר,1,c27f540734
shlomo gensler,1,28170ffc9b
tom amsallem,1,a3f41c74fe
מור ביידר,1,ab825ed7c1
יפה אדר,4,442925fb04
אוריאן אדר,1,dd267424a6
משה אור,1,d653e843d2
נועה ארגמני,3,f360c2caf5
ששון גבאי,2,77e9874361
הדס קלדרון,1,aadcf98425
פוגל גביש,1,48739132bc
מוטי בוקצין,2,3f5a0da999
שלמה צבי קהת,1,7b7f624577
elad poterman,1,1db94bbb42
יאיר לפיד,1,53fd3aaa46
amiram nir,1,5320c44159
הרצי הלוי,1,d061c085ab
אהוד ברק,1,9dc06fd770
herzi halevi,1,526f2b3188
benjamin netanyahu,1,18fe6529cf
ehud barak,1,b9c222cff7
מריה ולין,1,78a49766cc
עמירם ניר,1,e675b646d1
איתי לנדסברג נבו,1,5b03787ea0
עדן נימרי,1,1f2e8ae6be
עדן יקרה,1,e117ef5ab4
יאסר אלקרנאוי,1,bc5f05c9c6
yasmin porat,1,b458a0e15b
יסמין פורת,1,f513a712da
ארז גתי,1,43865e6397
liran reuven,1,67668b3ff7
katyusha volleys,1,0a99d0d73c
nova parello,1,c9ad926710
לינור קינן,2,2e83f4cc13
linor keenan,1,f6855f22ec
לירן ראובן,1,5eddc1e06f
טלי מאופקים,1,bd0173f5f4
ריטה שוקרון,1,b7ade06330
anat peled,1,e4898f0e58
david s . cloud,1,d4dcc95249
פול גז,1,3554c16baf
נמרוד חפץ,1,826788f5db
misholi barak,1,24ceda5268
bar heffetz roy misholi barak,1,3b43da61d7
אירית חפץ,1,d62069234b
עדי נגב,1,f34af2a2ba
תמר בר שמעון,1,a134fdd610
בר שמעון,1,2e231dd832
יהב וינר,3,4ec4f2192f
שלי לישראמן,1,be22921694
איה מידן,1,60075fb751
עידית שחר,1,5ec84d3127
זוהר שחר,1,a89a543b3f
סרגיי קידר,1,cad60c4001
יעקב פרנד,1,8f3bcd2a6e
גיא קליינמן,1,bb24429ec5
רינת כהן,1,ff8e42ca8c
ארז כהן מאור הנר,1,ae8146d8a7
אבי שחר,1,bedccf1a52
ארז כהן,1,699d47b704
beata dechtraev,1,120e5105fa
dina׳s cousin,1,2c1b8431af
ביאטה דכטרייב,1,7d16c1895f
עדן רם,1,de5be81f60
erez cohen,1,065a6f7f50
מנדי חביב,1,10d85ffc59
יוסי לנדו,1,a88143ec36
בועז גולן,1,aa5eb31956
אוהד כהן,1,2445f770b9
ירמיהו קמחי,1,22a9782de7
נחמן פרנק,1,f776756b48
עמרי אבן,1,31cc349fc5
מוטי פסל,1,b78696248f
מואב ורדי,1,d28f38e989
אופיר ליבשטיין,2,aca568b5e0
אורן אהרוני,2,073edc0603
אליעד חכים,1,72af5bbf48
אודי ארמא,1,8fa075dc16
אלעד חכים,1,34a3518299
יצחק שלומי,2,9f14f99857
תדהר ג קסון,1,e19ff1743f
אריאל סאסי,1,69470ef022
חיא וטרינרית,1,0f99cc3ddd
לתדהר ג׳קסון,1,eab577b330
חגי קבלן,1,fb123ed8c8
יאץ רסיס טל,1,e72c05c39e
אליט סאסי,1,62cfff0082
זליגח אליט,1,5f60f76d73
lotan pinyan,1,54ef3e2c77
מיכל פיניאן וייס,1,972bf3db1a
יהלי גאיה,1,3867806af8
נעמי שמר,2,72051b37d7
שלמה רון,2,434807aa95
רחל המשוררת,2,7116d443ba
חן מאילת,1,52dd84e5c8
חן ליאופולד,1,568362bc19
גיא שלי,1,f4bbcbe61b
גיא חי,1,f2b0fb77f4
גיא בן רחל,1,b51b34740f
avida bachar,1,b536533238
אודי בלוך,1,4c1b190d32
יוכבד ליפשיץ,1,ee93045dcf
מיכה ביטון,1,6eb679ddfa
חנה מנתניה,6,b6b7daf6d5
almog holot,1,516112956d
ברקי להדס לדני,1,cf6b74a56f
אלי אוזן,1,0c044e68f2
ליאת אצילי,2,0b33ab8167
נורית קופר,1,15438f4e6e
יוסי והב,1,6132c817e7
עודד ליפשיץ,2,e23270503a
ויטלי טרופנוב,1,5ddf7fc040
עמירם קופר,1,3408f87895
גדעון פאוקר,1,a0797bc5e6
גדי חגי,1,811205d88a
חיים פרי,1,96ae21a95c
גדי מוזס,1,cc34dc379a
אבנר גורן,1,ed7bf9e6c3
תמי מצגר,1,c42126b841
כרמלה דן,1,26e6767286
רועי מונדר,1,68c4c26f0d
יוסיניו גרוס,1,6ce49bc99f
נילי מרגלית,1,15686d6884
דולב יהוד,1,36d7d13234
דיצה הימן,1,3cf08c3216
עדה שגיא,1,5e29084dc6
טל שלו,1,4b765a459a
ירמי שפיר,1,cd36488348
צ׳רצ׳יל מרגלית,1,8dfe33d32a
אפרת כץ,1,1c3826d813
רבקה בן חורין,1,12b70a044b
אמיתי בן צבי,1,3b1193db7c
עופר קלדרון,1,5c2f9a208f
אוהד מונדר,2,ebbafb9f9f
קרול סימן טוב,1,0124fcc8a4
חנה קציר,1,d79d041a9e
מיה גורן,1,7703dd9870
נויה דן,1,857715a794
רמי קציר,1,35cc8fb9e3
תמיר אדר,1,113bc80221
יאיר יעקב,1,92b410cfa5
ברכה לוינסון,1,fa3f4062a2
אלעד קציר,2,e2f1c72957
אורי בני,1,357a2c33c0
פריץ שלו,1,e464595ae3
יורם מצגר,1,363670737e
ארבל יהוד,1,e2003e3401
אלכס דנציג,1,a916ff9c31
נגה בני,1,4512b801a8
מרגלית מוזס,1,226f6d2668
שפרה נוי,1,054be2dbe0
רננה גומא,1,2fa54f52b7
מרגיט סילברמן,1,15f5ea2e88
יוסי סילברמן,1,2ae100f61c
אביב אצילי,1,36cefcc6c2
יותם חיים,4,d2a80cdba3
איציק אלגרט,1,a3692491d7
עדינה משה,1,3403ba7bed
טום טום,2,e65b802d43
maya alper,1,aeceabfa81
שביט ברגלס,1,2ceee53134
איציק עוזרי,1,a69f600b22
אלמוג חולות,1,6b1e7c90f9
אופק הגי,1,fcb47df949
עומר חרמש,1,d2bf6ea096
רחל אדרי,2,975430b185
נוב ראובני,1,1db5be0174
אנה כץ,1,0c7b5e5eb8
ג׳ון ותמרי,2,8642a7412e
רותם ויקיר,2,50ba110f20
הדר בר,1,baba0daec1
יפעת גליק,1,0fa38483a5
דנה בכר מקיבוץ,1,34801a0172
מיקי קשאני,1,2cfb090943
יוגב אטיאס,1,aab906202b
ליהי שורש,1,b8c6f04f66
סרי לנקי,1,af24be72b4
סוג׳ית פריינקארה,1,8fea5737e6
ליאור טובול,1,b2f082b089
יאיר אביטל,3,ac9294e3ce
גיל בויום,3,d79a05ba3e
אריק קראוניק,3,181cbd5dc5
שחר צמח,3,b294e68918
נוי שוש,3,78fe26265d
איתן חדד,3,1d08fe7167
ליאת אדמתי מקאי,3,c68419bd4f
חגי אבני,3,1666738b37
הריי נוי,1,88083c27ca
נוי עמית יובל,1,4245b783f4
יובל עמית,1,309e811383
rachel goldberg,1,7f47345ddf
hersh goldberg,1,684dde2e34
נועה מרציאנו,2,09e1301d54
אלינה וייסברג,1,2d6b446b04
קלמנס מטנגה,2,84379099a2
ג׳ושע מולל,2,dbc4177be3
סולי מקיבוץ,1,842af35000
כרמלה מנשה,1,3a67a36294
בילאל זיאדנה,1,656141f332
yifat biton,1,93e6c38e17
אריאל עידן,1,a84f79da23
רומי סוויסה,1,c99cf74e4a
תומר זק,1,71e6a28cf2
יפעת עמיאל,1,150fb77ec5
efrat harlev siad,1,ce66b80eab
יואב זהבי,1,aaf4989824
אביגיל עידן,3,917bf9b650
דניאל הגרי,1,7e601fd1f2
שירלי שמסיאן,1,f6ebc094ff
יפעת מנהרדט,1,3410334850
עדי שני,2,c63ca5009e
מצור יצחק,1,20edc6fc47
סהר ברוך,1,faec8c7188
מיאה ליימברג,2,90e484c302
רון ירקוני,1,7df4642ff0
אמיר דדון,1,44d58f71c0
אבא זלמן,1,01df8d2354
אריה זלמנוביץ׳׳,1,55ce607707
ליאל חצרוני,1,a946fb20d6
אליונה סיננקו,1,90b271e4c2
גדעון אוקו,2,a2a09f661b
איתי בלומנטל,1,8595d9d8af
talia khan,1,fb3a4d8155
ruby chen,1,2ddd6a766b
itay chen,1,b2a6c8ad05
נעמה לוי,3,887610465e
נעם דן,1,6fe20578d0
ריאד עלי,1,65e1b564fb
רנדי ויינגרטן,1,7c15ceff88
משה כהן,1,88c7f25b7d
יפה בן דוד,1,572593988b
חיים ילין,1,217f6b2dbc
אודי סגל,1,d547ab70bf
לוסי אהריש,1,1a36dbf827
אביחי ברודץ׳׳,3,59e1d0ca5b
בילאל אלזיאדנה,1,e33bd6950e
יובל ברודץ׳׳,1,13884109ee
הדס גרינברג,2,d461b0f613
שיראל מור,1,9a4ce51db5
עדן זכריה,1,b619ea9141
רס״ב זיו דדו,1,e1756b3cf0
נופר משה פרדו,1,7263f420e1
שרון קוניו אלוני,1,b7158ca5c1
חן גולדשטיין אלמוג,1,b3320d7d61
סולימאן מסוודה,1,a356d5b3bc
daniel leifman,1,45d31c6cc8
אביעד שקולניק,1,6008337612
נעמה גרינבאום,1,b4a8fcab95
נתן זך,1,e77b9c31bd
גיא שוורץ,1,2087d61b94
צפריר גולדברג,1,91702d9ab7
רז נצר,1,1f56452f25
תמר גרינוולד,1,090bafca27
גיל חדש,1,d9dc2982ed
שלומית אורן,1,8c0e72bde3
טלילה ורשבסקי,1,fe5b442785
ריימונד מוסקוביץ׳,1,158c839662
ניר רמתי,1,e0bc84e8c0
בוגי ווגי,1,9ef9819e63
הבוגי ווגי,1,0b9c057754
עילאיה שליט,1,a9da5958e5
רננה רז,1,6d7b2ad771
דינה מרחובות,1,0fc0e1f142
אסיא גרינברג מקיבוץ,1,fcf702759d
עינת פישביין,1,d3a52c5689
ש״י עגנון,1,f6f845dae9
מודי ( מרדכי ) אמיר,1,335a603af2
מקס ברנר,1,1400c81d21
לי רהב,1,bc327535c4
איימי לבאן,1,8fde31467c
קאי שרק,1,1d70826319
דיאנה בחור ניר,1,1e15991e62
דבורה מינץ,1,a57ba21b3e
איימי לאבן,1,1a87fb580a
עפרה אייל,1,a2e63906fb
קובי שבתאי,1,7d9fd9cc0e
גל נבון,1,13919b10ea
be  eri,1,bdc80d1515
maayan lowers,1,f99e2aaa7a
dor whimpers,1,f0489d14b4
arik einstein,1,696db6cb68
ami daniel,1,3c66b584b1
קמיל מלאך,1,9c2c3deeb1
ניצה חפץ,1,7b3ede5932
ציפה רובין מקיבוץ,1,91076fae69
ציפה רובין,1,a65ffb721b
מלכה אש,1,345df9e9a3
מיטל חכמון,1,8ae5737fd6
שטל ביליה,1,018e7a4c23
ענבר לנדאו,1,7f151e2f81
תמר בראשי,1,5bcd6ecc3e
שחר הרבש״צ,1,03a1867162
סעד ״יץ,1,494cd7cf55
צביקה פורגס,1,d5d0b7f354
שחר אביאני,1,fe620aea03
יפתח יעבץ,1,9cc672726c
ניר יצחק,1,104e3bdc71
משה 602,1,fc108248e1
בני עילי מקיבוץ,1,33e35a0014
רפאל חיון,1,c4dbcff455
חן בוכריס,1,c873daa3e4
מנחם גידה,1,ff295bef66
רפאל שלום,1,10325d2460
אילן פיורנטינו,1,1d77ca4cdc
ליאור כחלון,1,075bc9f8ae
דניאל רז,1,49e2cb6b1d
אברם קידאני,1,5fcca88789
יואב אנדי,1,24f9a1610c
עומר שרביט,1,be2a3b849b
אבבה חדגו,1,6ea6032d81
עמיחי שיקלי,1,61b705a2c1
הג׳ר טספה,1,2afe9d1771
ידידיה בן יאיר,1,555efc5daf
אבבה חדגו ואינג & 039 ; רה,1,a6f1dd7d16
sujith priyankara,1,e6622e4833
גל אבני בר לב,1,ee98a9dc49
ענבל חרמוני,1,c76e542c58
כהן רביב,1,a25c5980fb
אבני בר לב,1,6bb0bfef71
ענת ריבלין,1,567526c768
גיא יקר,1,7f8bbdb8f5
ליאת כהן רביב,1,d435cf495a
אפרת רותם,1,1d6543dcde
שירה עבו,1,e83eb171d1
ג׳ו שי,1,c990a18591
בן מאיר,1,18e0b88591
שחר בן מאיר,1,f8b4295dd6
הימאנצ׳ל קאטל,1,aa0ef843b8
שלמה ארצי,1,7d946f1470
יפין ג׳ושי,1,d53b43391a
איתי כהן,1,e43844b872
אייל ריין,1,cb9dc2660a
ביפין ג׳ו שי,1,222c6b6db6
ישי סלוטקי,1,9ef3dd8428
יפין גו׳שי,1,2c0e9b2981
אריק איינשטיין,1,4844765ae4
מייקל הולר,1,c50aa4a72d
יובל הרפז,1,9e4021dfea
גלעד כחלון,1,a78a9bb043
מתן חודורוב,1,958a3f647d
meirav cohen,1,8fa649434d
מירב כהן,1,6aa47bb672
משה דוויק,1,fdc0fe2c99
ישראל כהן,1,cb8906ac15
חיים ביטון,1,ad8914e5ec
יוני שרפ,1,ad3c724af3
טל סוויסה,1,923a9698b7
שרון דוידוביץ,1,9c6596427f
ספיר כהן,1,30537d289a
בן יניב,1,1b5820386f
לאה שבת,1,9cb93655e0
מיקי קם,1,60c3f79429
יהודה אדר,1,7707114a49
רחלי הורוביץ,1,ae82c3ce47
רבקל׳ה מיכאלי,1,c2a92915c8
דני קושמרו,1,96fb3b468f
אדוה דדון,1,2db74073bd
אביגיל מה שבי,1,a215c690d1
עילי בוטנר,1,488bf3dfd1
שוני סטרטינר,1,44077bd6df
דיוויד ברוזה,1,78e738eefe
ראמזי ואנטולי,1,849a9e7253
דורון כץ אשר,1,30d2ce0d4c
עומר שם טוב,1,e03e31df0c
מאיר גבע,1,4ca5154056
ערן איצקוביץ,1,89cf6b3dfd
עמוס סבח,1,b52d7fef5c
ביט ליניב,1,9d9860e410
ביט אלי,1,4519eb2e27
דייוויד ברוזה,1,550d5e957a
נטע צחנובסקי,1,113e1d48a6
יבגני פטרושנסקי,1,56db9b29a9
שי לי עטרי,2,ea0e827472
אליס הכלבה,2,9230e787aa
דן יגודין,2,734b6c38f4
רן פחימה,2,da11732734
שרית דניאלף,2,6759ecbe85
אורן ביגר,2,4e6413762a
לירז מאיז,2,3344d510e1
עילם ברלב,1,e3b8567699
ערן ליטמן,1,14ae83af4e
דויד ריקרדו,1,51e8320cbe
אוריה ליטמן ריקרדו,1,8ba0ecadac
יורם ארז,1,942397a7a4
haim fremd,1,2823b1fe49
yael kenigsberg,1,5df1827214
יורם שלום רב,1,60a5cbc6a0
yael arkin,1,4786e8b974
שירה טופול,2,f662da2117
בן דוד,1,762cae05e7
נטלי אברמוב,1,87affe05a3
יואב בן דוד,1,1d7d06f052
אורי אריאל מרמת,1,682dcc63ab
אופיר אנגל,1,89eb2f3947
אילת לוי,1,9177af09cc
תמר אלמוג,1,5e48e3be7f
זהר סער,1,ea00005b86
תמנו שטה,1,cfd8454d77
מלי לוי,1,5215d4d044
roi boshi,1,89a18e8edd
אורית סוליציאנו,1,89dd55448c
פנינה תמנו שטה,1,15b5ad6eea
יפעת ביטון,1,5e6410c338
צביה זליגמן,1,9606ad078a
איציק איטח,1,6f6b8bf6a8
יוליה מלינובסקי,1,cf3f99bb97
קטי שטרית,1,71baee8f9f
נורית יכימוביץ כהן,1,760583b638
קארין אלהרר,1,2c4380802b
eran green,1,62f48ebf47
gali davidson,1,4cd4031bf9
ענבל קסם,1,3d03b5721c
שרון חלבי,3,ded07ded44
רבקה גלר,1,2e33b16ddc
אסף נורי,2,3395132ebb
אהוד פלג,1,b43ba1a1b7
ליאור חריש,1,761a59a7fc
אמילי הנד,2,42fa43b956
הילה רותם,1,b988bad271
משה אשכנזי,1,30f6103da6
נחום דוד,1,eca57b8a5c
תומר ניסימיאן,1,3fe0107700
אלינה יעקובוב,1,cb72c867a9
אורן לוי,1,49f05e6e5c
אורי לניאל,4,f0e89118b7
eden barzilay,2,373328f9af
gal leo,3,2401f4d08d
להדר פיק,1,9c915fffef
שירה מרק,1,b47909e4ba
עמיר בניון,1,eff64bbae0
שחם זגורי,2,e2d1921635
אלונה יונה,1,48932ddb61
שעידית לייבה,1,6c2acf1c08
משה יהודה,1,f1ed739951
יקיר סולפיין,1,5db9020442
גלי דוידסון,2,6f5b905acc
עידית סילמן,1,538bae9156
טל גלבוע,1,d3b3c8cc79
רועי שפרניק,1,59bbcdfa39
יונה גולן,2,a655841008
איריס חיים,3,932cdc6098
יעקב עמרם,2,ec6a72a80a
שרון כהן,1,c324ebb45c
בן עוזרי,1,d914a98563
סאמר אל טלאלקה,2,9f6f2f637b
אלון שמריז,2,e356c90ba3
אתי אלטמן,1,aa8f67806c
אלי מסיקה,1,a9b01b1c0a
מור בר,1,c6821ea763
עידו ברמק,1,e60231a656
יסמין כהן,2,133ffd91ba
רעות רשף,2,41ab230694
דפנה שיר ורטש,1,5993dd6663
שיר ורטש,1,5924478ac1
רווי ) פלג,1,2f9a4fc9e3
בר יוסף . במספר,1,5b2526731c
תמי בר יוסף,1,39f9f8b38b
רודני כלב,1,5877d9e5d9
עין שיזף,1,ed4f80da34
רויטל פלג,1,103b30697e
בר יוסף,1,b6d81cf4f2
אלונה סער,1,452dc87201
יהודית וייס,1,f963aff961
שוהם גואטה,1,9a68079ca3
מרי ג׳ון,1,e0531038ed
מיק סלע,1,54c79b1892
אליהו גת,1,019ab41f06
אברהם הברון,1,4b57888d9a
דן אבנד,1,2e482e7e83
דפוס בארי,1,b8834713ae
צרניק מגרמניה,1,506edb579b
נורה ליפשיץ,1,8eb36f92a0
ג׳יל ביידן,2,f12d82a456
שרה נתניהו,2,b61cfec580
sara netanyahu,1,0c96d31b26
וויצ׳יאן טמטהונג,1,d7c1195319
אליהו ביבס,1,a9035bc42b
iris haim,1,e99b368247
מושיקו מוסקוביץ,1,b1e02b2e27
שירן פרץ,1,43fa274f67
יונה יהב,1,e9ef180ed2
תמי גולדשטיין,1,9c539431f6
הילה לאופר,1,a135785f98
דנית גרינברג,1,416a44d70f
מאור בניזרי,1,ab4962bd12
תומי שטוקמן,1,b1cd99d05e
מיקי קמה,1,9bc317033b
מיקי שפירו,1,aac567cee9
אור שליט,1,f718fc7790
מירון גדי,1,5c7e7a79ec
יובל נבון,1,881db502b1
רונית אילון,1,4918823c01
אנדראה בוצ׳לי,2,6ca44af9f3
קטי בנדתי,1,eac32cb0d7
מגנון בארי,1,e9c86b9662
טל ברוש,1,67e15174ff
תומר גרינברג,1,3d17e4c58f
amir weiss,1,79974a55df
אשר כהן,1,a6b5a827b6
רוני זינגר,1,e7a84c2ad3
יחיא סינוואר,1,2dbd42ae70
ליאנה תדהר,1,2d24037ce8
חנה גופרית,1,939a1e800e
אמיליה אלוני,1,03714292f8
נינה פוקס,1,581e38d668
נועם דוד,1,ba600af7dd
עמרי אסנהיים,1,6e3d306add
ארז אשל,1,8b25e52e12
יאיר אטינגר,1,7fc9554676
שרון קוניו,1,954eee20d4
שריה פרידמן,1,b0920dec77
אריאל ביבס,1,e8cceb1ea5
רוני אשל,1,eb8ffb0787
אייל אשל,1,db23e6993b
בן בלומנפלד,1,21082a8f3c
ברהנו טגניה,1,95f0f61565
עמית סוסנה,1,12b5ad3d33
gal de paz,1,5a5356e772
אודיה אזולאי,1,369c7fa7b5
אי נעים,1,37d2ffe513
רות פרץ,1,416a6cc823
אריק ורות,1,3dfacfb3db
יזהר שי,1,c7a0284add
אפרת כ״ץ,1,ab116debac
שני לוק,1,34668e5a31
מיה רגב,2,41be16a34a
חן קוגל,1,87d17150fd
ירי אלבג,1,f9cf3d59f3
דניאלה מוניץ מישראל,1,efd2dc48be
קרינה ארייב,1,20fd844c2d
אלון אהל,1,ac5874db99
פלויד מייוות׳ר,1,696703e4ca
כפיר ביבס,2,d873ca657a
noa argamani,1,58edbe69f1
דניאל חג׳בי,1,c698e90e72
שבילי אייליש,1,12424071e1
moran stella yanai,1,4f39185a80
va moran stela yanai,1,86ef8f16ad
judith raanan,1,30676a008c
לירן כוג׳הינוף,1,982bdee3eb
יואב קיש,1,1e403cf140
אלחנן קלמזון,1,bb8a1ba6d0
אהרון חליוה,1,df083d316a
אלי כהן,1,615675706a
סופי כהן בן דור,1,7589be98a3
איתי חן בקפלן,1,2486b369a0
sagi dovev,1,e919b09620
krav maga legend,1,7169f252b4
maya regev,1,39777b1511
רז הרשקו,1,5c2f56c11c
ענבר לניר בארד,1,eaefba622c
בן שני,1,93622a6c40
speaker johnson,1,2382b85b60
mike johnson,1,708fb7901a
michael lawler,1,3a18d60ee3
minouche shafik,1,ce75066d27
שלמה מנצור,1,880944a9f1
איתמר מאירי,1,715c4f535b
דרור אור מקיבוץ,1,965ce6bd38
שושקה אנגלמאייר,1,ae1a1600ef
liri albag,1,4601ed5fb5
הירש גולדברג פולין,1,f33d2dd905
דב גילהר,1,a2e0a54fa0
שני גבאי,1,65ef1b7e0b
אליקים ליבמן,1,f04db5a6c1
אורלי אלקלעי,1,29de6136f7
רחלי ברץ ריקס,1,56612d6c3c
ראש״י הקדוש,1,88ae4442b9
ברץ ריקס,1,67012d0dcb
אביעד אדרי,1,3d7caeca2e
ויקו אטואן,1,0090ff63eb
